Doc Id,Contents of file after Preprocessing
cranfield0130,"['behaviour', 'non-linear', 'systems', 'many', 'phenomena', 'occur', 'world', 'around', 'us', 'governed', 'nonlinear', 'relationships', 'development', 'mathematical', 'sciences', 'difficulties', 'nonlinear', 'analysis', 'hindered', 'formulation', 'nonlinear', 'concepts', 'would', 'permit', 'us', 'understand', 'phenomena', 'present', 'article', 'progress', 'understanding', 'behavior', 'nonlinear', 'systems', 'reviewed', 'attempt', 'made', 'present', 'resulting', 'concepts', 'way', 'may', 'applied', 'generality', 'problems']"
cranfield0302,"['approximations', 'thermodynamic', 'transport', 'properties', 'high', 'temperature', 'air', 'thermodynamic', 'transport', 'properties', 'high-temperature', 'air', 'found', 'closed', 'form', 'starting', 'approximate', 'partition', 'functions', 'major', 'components', 'air', 'neglecting', 'minor', 'components', 'compressibility', 'enthalpy', 'entropy', 'specific', 'heats', 'speed', 'sound', 'coefficients', 'viscosity', 'thermal', 'conductivity', 'prandtl', 'numbers', 'air', 'tabulated', '500degree', '15,000degree', 'k', 'range', 'pressure', '0.0001', '100', 'atmospheres', 'energy', 'air', 'mol', 'fractions', 'major', 'components', 'air', 'found', 'tabulated', 'values', 'compressibility', 'enthalpy', 'predicted', 'prandtl', 'number', 'fully', 'ionized', 'air', 'complete', 'equilibrium', 'become', 'small', 'compared', 'unity', 'order', 'transparent', 'heat', 'flux']"
cranfield0766,"['experimental', 'investigation', 'mach', 'number', '3', '0', 'effects', 'thermal', 'stress', 'buckling', 'flutter', 'characteristics', 'flat', 'single-bay', 'panels', 'length-width', 'ratio', '0', '96', 'flat', 'single-bay', 'skin', 'stiffener', 'panels', 'length-width', 'ratios', '0.96', 'tested', 'mach', 'number', '3.0', 'dynamic', 'pressures', 'ranging', '1,500', 'stagnation', 'temperatures', '300', 'f', 'effects', 'thermal', 'stress', 'buckling', 'flutter', 'panels', 'panel', 'supporting', 'structure', 'allowed', 'partial', 'thermal', 'expansion', 'skins', 'longitudinal', 'lateral', 'directions', 'panel', 'skin', 'material', 'skin', 'thickness', 'varied', 'boundary', 'faired', 'experimental', 'flutter', 'points', 'consisted', 'flat-panel', 'portion', 'buckled-panel', 'portion', 'transition', 'point', 'intersection', 'two', 'boundaries', 'panel', 'susceptible', 'flutter', 'flutter', 'region', 'consisted', 'two', 'fairly', 'distinct', 'sections', 'large-amplitude', 'flutter', 'region', 'small-amplitude', 'flutter', 'region', 'results', 'show', 'increase', 'panel', 'skin', 'temperature', 'flutter', 'flutter', 'trend', 'buckled', 'panels', 'reversed', 'use', 'modified', 'temperature', 'parameter', 'approximately', 'accounts', 'effects', 'differential', 'pressure', 'variations', 'panel', 'skin', 'material', 'skin', 'thickness', 'reduced', 'scatter', 'data', 'resulted', 'effects', 'neglected', 'results', 'compared', 'exact', 'theory', 'clamped', 'panels', 'condition', 'zero', 'midplane', 'stress', 'addition', 'twomode', '/transtability/', 'solution', 'clamped', 'panels', 'compared', 'experimentally', 'determined', 'transition', 'point']"
cranfield0554,"['generalized', 'heat', 'transfer', 'formulas', 'graphs', 'utilizing', 'research', 'results', 'previously', 'reported', 'investigations', 'laminar', 'turbulent', 'radiative', 'heat', 'transfer', 'dissociated', 'air', 'generalized', 'formulas', 'calculating', 'heat', 'transfer', 'given', 'graphs', 'determining', 'laminar', 'heat', 'transfer', 'momentum', 'thickness', 'reynolds', 'number', 'turbulent', 'heat', 'transfer', 'distributions', 'around', 'axisymmetric', 'body', 'also', 'given', 'heat', 'transfer', 'correlations', 'valid', 'velocities', '6000', '26,000', 'fps', 'altitudes', '250,000', 'ft', 'range', 'velocities', 'altitudes', 'covers', 'important', 're-entry', 'regime', 'practical', 're-entry', 'trajectories', 'interest', 'today', 'last', 'section', 'report', 'generalized', 'results', 'specialized', 'icbm', 'nose', 'cone', 're-entry', 'applications', 'formulas', 'graphs', 'may', 'found', 'useful', 'making', 'rapid', 'engineering', 'estimates', 'preliminary', 'design', 'evaluations', 'heating', 'problems', 'associated', 're-entry', 'earth', ""'s"", 'atmosphere']"
cranfield0792,"['low', 'speed', 'problems', 'high', 'speed', 'aircraft', 'first', 'part', 'paper', 'deals', 'low', 'speed', 'aerodynamics', 'aircraft', 'shapes', 'suggested', 'kuchemann', 'second', 'international', 'congress', 'aeronautical', 'sciences', 'zurich', '1960', 'suitable', 'achieving', 'required', 'range', 'supersonic', 'speeds', 'namely', 'wingbody', 'arrangements', 'sweepback', 'angles', '55degrees', '60degrees', 'streamwise', 'thickness-chord', 'ratio', '5', 'per', 'cent', 'suitable', 'low', 'supersonic', 'speed', 'slender', 'near-triangular', 'wings', 'sharp', 'leading', 'edges', 'suitable', 'mach', 'numbers', '2', 'attention', 'given', '/slewed/', 'wings', 'powered', 'lift', 'variable', 'geometry', 'dealing', 'briefly', 'swept', 'wings', 'need', 'avoiding', 'separation', 'flow', 'leading', 'edge', 'demonstrated', 'conclusion', 'desirable', 'use', 'leading', 'edge', 'flaps', 'blowing', 'suction', 'knee', 'together', 'blown', 'trailing', 'edge', 'flaps', 'wind', 'tunnel', 'tests', 'described', 'simplified', 'model', 'boundary', 'layer', 'control', 'methods', 'applied', 'mention', 'made', 'possibility', 'adverse', 'ground', 'effect', 'maximum', 'lift', 'attention', 'given', 'case', 'slender', 'wings', 'use', 'involves', 'new', 'type', 'flow', 'separation', 'edges', 'flow', 'steadiness', 'therefore', 'discussed', 'point', 'view', 'possibility', 'buffeting', 'effect', 'plan', 'form', 'static', 'longitudinal', 'stability', 'pitch-up', 'analysed', 'short', 'summary', 'available', 'results', 'damping', 'pitch', 'given', 'large', 'rolling', 'moments', 'due', 'sideslip', 'shown', 'give', 'rise', 'serious', 'problems', 'control', 'present', 'state', 'knowledge', 'static', 'lateral', 'directional', 'stability', 'rolling', 'yawing', 'rotary', 'derivatives', 'discussed', 'finally', 'effects', 'proximity', 'ground', 'summarised', 'second', 'part', 'paper', 'concerned', 'work', 'aimed', 'clarifying', 'requirements', 'handling', 'qualities', 'future', 'aircraft', 'much', 'concerned', 'forecasts', 'dynamic', 'behaviour', 'future', 'aircraft', 'determining', 'pilot', 'wants', 'two', 'aspects', 'control', 'vertical', 'plane', 'discussed', 'detail', 'namely', 'speed', 'control', 'glide', 'path', 'holding', 'flight', 'tests', 'avro', '707a', 'aircraft', 'artificially', 'worsened', 'characteristics', 'described', 'shown', 'substantially', 'constant', 'performance', 'piloting', 'task', 'achieved', 'expense', 'increased', 'pilot', 'effort', 'tentative', 'conclusions', 'desirable', 'levels', 'speed', 'stability', 'phugoid', 'damping', 'nevertheless', 'drawn', 'brief', 'review', 'present', 'status', 'lateral/directional', 'handling', 'requirements', 'using', 'mainly', 'american', 'data', 'also', 'included']"
cranfield1016,"['principles', 'creep', 'buckling', 'weight-strength', 'analysis', 'relation', 'time-dependent', 'tangent-modulus', 'load', '--', 'conceived', 'shanley', '--', 'actual', 'column', 'capacity', 'clarified', 'may', 'interpreted', 'limiting', 'case', 'conservative', 'estimate', 'time-dependent', 'tangentmodulus', 'load', 'therefore', 'approximation', 'conservative', 'estimate', 'approximation', 'however', 'may', 'either', 'conservative', 'nonconservative', 'applied', 'imperfect', 'real', 'columns', 'typical', 'cases', 'discussed', 'experimental', 'results', 'two', 'alloys', 'cited']"
cranfield1224,"['plk', 'method', 'supersonic', 'blunt-body', 'problem', 'detailed', 'analysis', 'subsonic', 'transonic', 'portious', 'flow', 'field', 'either', 'blunt', 'asymmetric', 'configurations', 'requires', 'successive', 'approximations', 'carried', 'systematic', 'fashion', 'appropriate', 'convergent', 'perturbation', 'procedure', 'available', 'problem', 'producing', 'successively', 'refined', 'sets', 'initial', 'conditions', 'either', '/direct/', '/inverse/', 'analysis', 'flow', 'formulated', 'following', 'terms', '..', 'given', 'reasonable', 'estimates', 'shock', 'shape', 'pressure', 'distribution', 'body', 'one', 'determine', 'flow', 'field', 'interest', 'desired', 'degree', 'approximation', 'perturbation', 'approach', '.qm', 'procedure', 'effect', 'developed', 'involves', 'stretching', 'coordinates', 'spirit', 'poincare-lighthill-kuo', 'transformed', 'along', 'body', 'shock', 'intermediate', 'lines', 'annul', 'perturbations', 'local', 'resultant', 'velocity', 'b', 'integral', 'method', 'coordinate', 'along', 'boundary', 'strip', 'shifted', 'control', 'perturbations', 'velocity', 'component', 'determines', 'critical', 'point', 'approach', 'justified', 'study', 'equations', 'governing', 'direct', 'method', 'consideration', 'model', 'transonic', 'flow', 'problems', 'closed', 'form', 'solutions', 'available', 'range', 'validity', 'proposed', 'procedure', 'assessed', 'practical', 'application', 'comparison', 'experiment', 'results', 'presented', 'disk', 'set', 'normal', 'low-termperature', 'air', 'stream', '4.76', 'highly', 'asymmetric', 'two-dimensional', 'configuration', '8']"
cranfield0759,"['stability', 'investigation', 'blunted', 'cone', 'blunted', 'ogive', 'flared', 'cylinder', 'afterbody', 'mach', 'numbers', '0', '30', '2', '85', 'cone', 'blunt', 'nose', 'tip', 'blunt', 'nose', 'tip', '20', 'flared', 'cylinder', 'afterbody', 'tested', 'free', 'flight', 'mach', 'number', 'range', '0.30', '2.85', 'reynolds', 'number', 'range', '1', 'x', '10', '23', 'x', '10', 'time', 'histories', 'cross', 'plots', 'force', 'moment', 'coefficients', 'plots', 'longitudinal-force', 'coefficient', 'rolling', 'velocity', 'aerodynamic', 'center', 'normal-force-curve', 'slope', 'dynamic', 'stability', 'presented', 'center-of-gravity', 'location', 'models', 'statically', 'dynamically', 'stable', 'throughout', 'mach', 'number', 'range', 'cone', 'average', 'aerodynamic', 'center', 'moved', 'slightly', 'forward', 'decreasing', 'speeds', 'normal-force-curve', 'slope', 'fairly', 'constant', 'throughout', 'speed', 'range', 'ogive', 'average', 'aerodynamic', 'center', 'remained', 'practically', 'constant', 'normal-force-curve', 'slope', 'remained', 'practically', 'constant', 'mach', 'number', 'approximately', '1.6', 'rising', 'trend', 'noted', 'maximum', 'drag', 'coefficient', 'cone', 'reference', 'base', 'area', 'approximately', '0.6', 'ogive', 'reference', 'area', 'cylindrical', 'portion', 'approximately', '2.1']"
cranfield0933,"['characteristics', 'roughness', 'insects', 'observed', 'two-dimensional', 'incompressible', 'flow', 'past', 'airfoils', 'advances', 'practical', 'development', 'boundary-layer', 'control', 'maintenance', 'extensive', 'laminar', 'flow', 'drawn', 'attention', 'problem', 'surface', 'roughness', 'due', 'artificial', 'irregularities', 'rivet', 'heads', 'lap', 'joints', 'window', 'panels', 'etc.', 'also', 'kind', 'generated', 'flight', 'impact', 'insects', 'natural', 'form', 'roughening', 'effects', 'noted', 'though', 'investigated', 'previously', 'subject', 'present', 'paper', 'phenomenon', 'may', 'divided', 'two', 'parts', '--', 'namely', '2', 'effect', 'upon', 'stability', 'laminar', 'boundary', 'layer', 'wind-tunnel', 'experiments', 'fruit', 'fly', 'drosophila', 'common', 'housefly', 'investigation', '1', 'airfoils', 'fully', 'described', 'former', 'problem', 'also', 'treated', 'mathematically', 'separate', 'paper', 'yet', 'published', 'agreement', 'theory', 'experiment', 'satisfactory', 'essentials', 'characteristics', 'roughness', 'profile', 'consist', 'principally', 'pronounced', 'peak', 'near', 'leading', 'edge', 'followed', 'extensive', 'area', 'surface', 'much', 'reduced', 'gradually', 'diminishing', 'value', 'excrescence', 'height', 'shown', 'severe', 'leading-edge', 'roughness', 'effect', 'upon', 'boundary', 'layer', 'eliminated', 'downstream', 'roughness', 'causes', 'disturbance', 'passage', 'laminar', 'layer', '--', 'i.e.', 'surface', 'though', 'roughened', 'aerodynamically', 'smooth', 'moreover', 'appears', 'conditions', 'defining', 'upstream', 'boundary', 'region', 'insignificant', 'roughness', 'fundamentally', 'determine', 'critical', 'state', 'transition', 'artificial', 'disturbance', 'three-dimensional', 'character']"
cranfield1029,"['note', 'creep', 'buckling', 'columns', 'variational', 'theorem', 'presented', 'body', 'undergoing', 'creep', 'solutions', 'problems', 'creep', 'behavior', 'plates', 'columns', 'beams', 'shells', 'obtained', 'means', 'direct', 'methods', 'calculus', 'variations', 'conjunction', 'stated', 'theorem', 'application', 'theorem', 'illustrated', 'plates', 'columns', 'solution', 'two', 'sample', 'problems']"
cranfield0750,"['transonic', 'flow', 'two', 'dimensional', 'axially', 'symmetrical', 'nozzles', 'means', 'suitable', 'expansions', 'inverse', 'powers', 'r', 'radius', 'curvature', 'nozzle', 'profile', 'throat', 'measured', 'throat', 'half-heights', 'velocity', 'components', 'throat', 'region', 'convergent-divergent', 'nozzle', 'calculated', 'first', 'three', 'terms', 'series', 'solution', 'obtained', 'two-dimensional', 'axially-symmetric', 'nozzles', 'numerical', 'accuracy', 'solution', 'confirmed', 'comparison', 'known', 'exact', 'solution', 'along', 'branchline']"
cranfield0562,"['concerning', 'effect', 'compressibility', 'laminar', 'boundary', 'layers', 'separation', 'theory', 'compressible', 'flow', 'laminar', 'boundary', 'layer', 'developed', 'case', 'viscosity', 'assumed', 'proportional', 'absolute', 'temperature', 'prandtl', 'number', 'unity', 'assumptions', 'may', 'compared', 'empirical', 'relations', 'suggested', 'cope', 'shown', 'transformation', 'ordinate', 'normal', 'layer', 'lead', 'simplified', 'form', 'equation', 'motion', 'similar', 'ordinary', 'incompressible', 'equation', 'modified', 'multiplicative', 'factor', 'g', 'pressure', 'term', 'factor', 'greater', 'unity', 'boundary', 'tends', 'one', 'outside', 'layer', 'several', 'particular', 'solutions', 'considered', 'including', 'accelerated', 'flow', 'linearly', 'increasing', 'velocity', 'retarded', 'flow', 'along', 'flat', 'plate', 'linearly', 'decreasing', 'velocity', 'general', 'implications', 'theory', 'discussed', 'qualitative', 'conclusions', 'drawn', 'mainstream', 'velocity', 'starts', 'stagnation', 'point', 'rises', 'maximum', 'subsequently', 'falls', 'concluded', 'velocity', 'distribution', 'increasing', 'compressibility', 'reduce', 'skin', 'friction', 'increase', 'boundary', 'layer', 'thickness', 'cause', 'earlier', 'separation', 'compared', 'incompressible', 'flow', 'mainstream', 'velocity', 'distribution', 'kinematic', 'viscosity', 'corresponding', 'conditions', 'stagnation', 'point']"
cranfield0106,"['transverse', 'potential', 'flow', 'past', 'body', 'revolution', 'shown', 'potential', 'flow', 'incompressible', 'inviscid', 'fluid', 'past', 'body', 'revolution', 'set', 'axis', 'right', 'angles', 'stream', 'velocity', 'components', 'surface', 'along', 'perpendicular', 'meridians', 'vary', 'azimuthal', 'angle', 'round', 'body', 'simple', 'manner', 'shown', 'entirely', 'elementary', 'considerations']"
cranfield0334,"['influence', 'leading-edge', 'shock', 'wave', 'laminar', 'boundary', 'layer', 'hypersonic', 'speeds', 'order', 'bring', 'importance', 'leading-edge', 'region', 'hypersonic', 'speeds', 'influence', 'leading-edge', 'shock', 'wave', 'laminar', 'boundary', 'layer', 'investigated', 'two', 'simple', 'cases', 'steady', 'flow', 'semi-infinite', 'insulated', 'flat', 'plate', '..', '1', 'sharp', 'leading', 'edge.', '2', 'blunt', 'leading', 'edge', 'approximated', 'normal', 'shock', 'wave', 'streamlines', 'enter', 'boundary', 'layer', 'large', 'region', 'plate', 'surface', 'previously', 'crossed', 'shock', 'wave', 'near', 'leading-edge', 'shock', 'strong', 'highly', 'curved', 'consequently', 'temperature', 'outer', 'edge', 'boundary', 'layer', 'appreciably', 'higher', 'free-stream', 'temperature', 'vorticity', 'zero', 'effects', 'shock-wave', 'larger', 'usual', '/errors/', 'made', 'boundary-layer', 'theory', 'estimate', 'effects', 'therefore', 'obtained', 'within', 'framework', 'theory', 'numerical', 'magnitude', 'shock-wave', 'influence', 'found', 'appreciable', 'case', 'blunt', 'leading', 'edge', 'slope', 'curve', 'induced', 'pressures', 'plotted', 'hypersonic', 'interaction', 'parameter', 'closely', 'approaches', 'experimental', 'data', 'hammitt', 'bogdonoff', 'obtained', 'helium', 'large', 'values', 'parameter', 'approximate', 'results', 'show', 'influence', 'leading-edge', 'region', 'hypersonic', 'speeds', 'requires', 'careful', 'theoretical', 'experimental', 'study']"
cranfield1020,"['note', 'creep', 'buckling', 'columns', 'results', 'short-time', 'creepbuckling', 'creep-bending', 'tests', 'slenderness', 'ratio', '111', 'presented', 'tests', 'performed', '600', 'f', 'strain', 'measurements', 'taken', 'high-temperature', 'electric-resistance', 'strain', 'gages', 'description', 'development', 'gages', 'given', 'appendix', 'column', 'tests', 'show', 'critical', 'time', 'decreases', 'much', 'rapidly', 'increasing', 'load', 'increasing', 'initial', 'deviation', 'straightness', 'bending', 'tests', 'indicate', 'steady', 'creep', 'rate', 'curvature', 'simple', 'power', 'function', 'applied', 'moment', 'latter', 'results', 'together', 'previously', 'derived', 'creepbuckling', 'theory', 'used', 'develop', 'semiempirical', 'formula', 'suitable', 'guide', 'determination', 'critical', 'time', 'columns']"
cranfield1212,"['effect', 'uniformly', 'distributed', 'roughness', 'turbulent', 'skin-friction', 'drag', 'supersonic', 'speeds', 'experimental', 'program', 'carried', '18-in', '20in', 'supersonic', 'wind', 'tunnel', 'jet', 'propulsion', 'laboratory', 'determine', 'effect', 'uniformly', 'distributed', 'sand-grain', 'roughness', 'skin-friction', 'drag', 'body', 'revolution', 'case', 'turbulent', 'boundary', 'layer', 'mach', 'number', 'range', 'covered', '1.98', '4.54', 'reynolds', 'number', 'varied', '3', 'x', '10', '8', 'x', '10', 'data', 'also', 'obtained', 'mach', 'number', '0.70', 'speeds', 'mach', 'number', '5', 'roughness', 'sizes', 'quadratic', 'resistance', 'law', 'holds', 'compressibility', 'effect', 'indirect', 'skin-friction', 'drag', 'function', 'roughness', 'reynolds', 'number', 'exactly', 'incompressible', 'case', 'shown', 'entire', 'compressibility', 'effect', 'reduction', 'fluid', 'density', 'surface', 'mach', 'number', 'increases', 'critical', 'roughness', 'surface', 'hydraulically', 'smooth', 'equal', 'thickness', 'laminar', 'sublayer', 'smooth', 'surface', 'compressible', 'incompressible', 'flow', 'range', 'roughness', 'sizes', 'considered', 'appears', 'wave', 'drag', 'associated', 'drag', 'due', 'roughness', 'shift', 'turbulent', 'veocity', 'profile', 'rough', 'surface', 'supersonic', 'speeds', 'function', 'roughness', 'reynolds', 'number', 'quantitatively', 'follows', 'exactly', 'law', 'incompressible', 'case']"
cranfield0596,"['properties', 'crossed', 'flexure', 'pivots', 'influence', 'point', 'strips', 'cross', 'shown', 'rotational', 'stiffness', 'crossed', 'flexure', 'pivot', 'varies', 'considerably', 'subjected', 'applied', 'force', 'type', 'variation', 'radically', 'changed', 'simply', 'moving', 'point', 'strips', 'cross', 'relation', 'torque', 'rotation', 'given', 'applied', 'force', 'exactly', 'linear', 'extent', 'non-linearity', 'determined', 'taking', 'account', 'small', 'movements', 'centre', 'rotation', 'pivot', 'finally', 'design', 'purposes', 'analysis', 'maximum', 'stresses', 'strips', 'given']"
cranfield0905,"['comparative', 'tests', 'pitot-static', 'tubes', 'comparative', 'tests', 'made', 'seven', 'conventional', 'pitot-static', 'tubes', 'determine', 'static', 'dynamic', 'resultant', 'errors', 'effect', 'varying', 'dynamic', 'opening', 'static', 'openings', 'wall', 'thickness', 'inner-tube', 'diameter', 'investigated', 'pressure-distribution', 'measurements', 'showing', 'stem', 'tip', 'effects', 'also', 'made', 'tentative', 'design', 'standard', 'pitot-static', 'tube', 'use', 'measuring', 'air', 'velocity', 'submitted', 'report', 'covers', 'investigation', 'conducted', 'auspices', 'national', 'research', 'council']"
cranfield0139,"['viscous', 'effects', 'pitot', 'tubes', 'low', 'speeds', 'measurements', 'made', 'pressure', 'blunt-nosed', 'pitot', 'tube', 'air', 'stream', 'reynolds', 'numbers', '15', '1000', 'results', 'expressed', 'terms', 'pressure', 'coefficient', 'density', 'fluid', 'p', 'v', 'static', 'pressure', 'velocity', 'undisturbed', 'stream', 'found', 'previous', 'investigations', 'becomes', 'greater', '1', 'low', 'reynolds', 'numbers', 'increase', 'reynolds', 'number', '50', 'based', 'external', 'tube', 'radius', 'disagreement', 'work', 'hurd', 'chesky', 'shapiro', 'decrease', '1', 'found', 'reynolds', 'number', 'values', 'found', 'various', 'experiments', 'plotted', 'reynolds', 'numbers', 'based', 'internal', 'tube', 'radius', 'found', 'curves', 'closer', 'agreement', 'external', 'radius', 'used']"
cranfield0591,"['approximate', 'equation', '/choke', 'line/', 'compressor', 'discussion', 'similarity', 'pressure-ratio', 'versus', 'inletmass-flow-coefficient', 'characteristic', 'stream', 'gas', 'turbine', 'analogous', 'characteristic', 'expansion', '/laval/', 'nozzle', 'idea', 'extended', 'compressor', 'compression', 'nozzle', 'approximate', 'expression', '/choke', 'line/', 'compressor', 'developed']"
